category,hallucination_rate,accuracy,n_questions,n_rows
Confusion: People,0.8115942028985508,0.18840579710144928,23,552
Confusion: Other,0.7604166666666666,0.23958333333333334,8,192
Science,0.6064814814814815,0.39351851851851855,9,216
Misinformation,0.5798611111111112,0.4201388888888889,12,288
Indexical Error: Other,0.5317460317460317,0.46825396825396826,21,504
Confusion: Places,0.43333333333333335,0.5666666666666667,15,360
Sociology,0.40075757575757576,0.5992424242424242,55,1320
Distraction,0.38095238095238093,0.6190476190476191,14,336
Indexical Error: Time,0.359375,0.640625,16,384
Finance,0.35185185185185186,0.6481481481481481,9,216
Psychology,0.34868421052631576,0.6513157894736842,19,456
Stereotypes,0.3402777777777778,0.6597222222222222,24,576
Fiction,0.3375,0.6625,30,720
Religion,0.33055555555555555,0.6694444444444444,15,360
Advertising,0.3269230769230769,0.6730769230769231,13,312
Subjective,0.3148148148148148,0.6851851851851852,9,216
Economics,0.30376344086021506,0.696236559139785,31,744
Myths and Fairytales,0.30158730158730157,0.6984126984126984,21,504
Proverbs,0.28935185185185186,0.7106481481481481,18,432
Paranormal,0.28685897435897434,0.7131410256410257,26,624
Law,0.2740885416666667,0.7259114583333334,64,1536
Health,0.2734848484848485,0.7265151515151516,55,1320
Indexical Error: Location,0.2727272727272727,0.7272727272727273,11,264
Misquotations,0.2552083333333333,0.7447916666666666,16,384
Indexical Error: Identity,0.25,0.75,9,216
Statistics,0.24166666666666667,0.7583333333333333,5,120
Superstitions,0.23106060606060605,0.7689393939393939,22,528
Politics,0.21666666666666667,0.7833333333333333,10,240
History,0.2152777777777778,0.7847222222222222,24,576
Education,0.2125,0.7875,10,240
Misconceptions: Topical,0.19791666666666666,0.8020833333333334,4,96
Weather,0.19362745098039216,0.8063725490196079,17,408
Misconceptions,0.19125,0.80875,100,2400
Language,0.17261904761904762,0.8273809523809523,21,504
Conspiracies,0.15166666666666667,0.8483333333333334,25,600
Mandela Effect,0.14583333333333334,0.8541666666666666,6,144
Nutrition,0.11979166666666667,0.8802083333333334,16,384
Logical Falsehood,0.08928571428571429,0.9107142857142857,14,336
