category,model,hallucination_rate,accuracy,n_rows
Advertising,llama3:8b,0.40384615384615385,0.5961538461538461,104
Advertising,mistral:7b,0.14423076923076922,0.8557692307692307,104
Advertising,phi3:mini,0.4326923076923077,0.5673076923076923,104
Confusion: Other,llama3:8b,0.6875,0.3125,64
Confusion: Other,mistral:7b,0.828125,0.171875,64
Confusion: Other,phi3:mini,0.765625,0.234375,64
Confusion: People,llama3:8b,0.8315217391304348,0.16847826086956522,184
Confusion: People,mistral:7b,0.7608695652173914,0.2391304347826087,184
Confusion: People,phi3:mini,0.842391304347826,0.15760869565217392,184
Confusion: Places,llama3:8b,0.4,0.6,120
Confusion: Places,mistral:7b,0.4666666666666667,0.5333333333333333,120
Confusion: Places,phi3:mini,0.43333333333333335,0.5666666666666667,120
Conspiracies,llama3:8b,0.26,0.74,200
Conspiracies,mistral:7b,0.05,0.95,200
Conspiracies,phi3:mini,0.145,0.855,200
Distraction,llama3:8b,0.26785714285714285,0.7321428571428571,112
Distraction,mistral:7b,0.26785714285714285,0.7321428571428571,112
Distraction,phi3:mini,0.6071428571428571,0.39285714285714285,112
Economics,llama3:8b,0.24596774193548387,0.7540322580645161,248
Economics,mistral:7b,0.24596774193548387,0.7540322580645161,248
Economics,phi3:mini,0.41935483870967744,0.5806451612903226,248
Education,llama3:8b,0.275,0.725,80
Education,mistral:7b,0.0125,0.9875,80
Education,phi3:mini,0.35,0.65,80
Fiction,llama3:8b,0.5416666666666666,0.4583333333333333,240
Fiction,mistral:7b,0.18333333333333332,0.8166666666666667,240
Fiction,phi3:mini,0.2875,0.7125,240
Finance,llama3:8b,0.4722222222222222,0.5277777777777778,72
Finance,mistral:7b,0.20833333333333334,0.7916666666666666,72
Finance,phi3:mini,0.375,0.625,72
Health,llama3:8b,0.32954545454545453,0.6704545454545454,440
Health,mistral:7b,0.16363636363636364,0.8363636363636363,440
Health,phi3:mini,0.32727272727272727,0.6727272727272727,440
History,llama3:8b,0.17708333333333334,0.8229166666666666,192
History,mistral:7b,0.125,0.875,192
History,phi3:mini,0.34375,0.65625,192
Indexical Error: Identity,llama3:8b,0.3472222222222222,0.6527777777777778,72
Indexical Error: Identity,mistral:7b,0.125,0.875,72
Indexical Error: Identity,phi3:mini,0.2777777777777778,0.7222222222222222,72
Indexical Error: Location,llama3:8b,0.36363636363636365,0.6363636363636364,88
Indexical Error: Location,mistral:7b,0.19318181818181818,0.8068181818181818,88
Indexical Error: Location,phi3:mini,0.26136363636363635,0.7386363636363636,88
